quality;label_mid;label_high;text_full
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co będzie mógł zrobić klient gdyby spotkało go nierówne traktowanie ze strony pracodawcy
1;prawo administracyjne materialne;prawo administracyjne;co będzie w przypadku jeśli wspólnota mieszkaniowa odmówi usługodawcy udostępnienia nieruchomości
1;prawo podatkowe procesowe;prawo podatkowe;co dalej w sytuacji gdy naczelnik urzędu skarbowego odmówi uwzględnienia wniosku o przejście na kartę podatkową ile czasu ma naczelnik urzędu skarbowego na podjęcie decyzji w przedmiocie karty podatkowej a ile klient na ustosunkowanie się do tej decyzji
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;co dokładnie powinien zawierać wpis oil numer prawa wykonywania zawodu z ilu składać się cyfr czy farmaceuta przed wysłaniem refundacji powinien zweryfikować ten numer
1;covid;prawo medyczne;co jeżeli pacjent nie odbiera telefonu czy wtedy klient powinien przedłużyć izolację
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co klient może zrobić we wskazanej sytuacji
1;ubezpieczeniowe;prawo cywilne;co klient musi zrobić w przedmiotowej sprawie aby nie płacić za zdublowaną polisę
1;prawo cywilne procesowe;prawo cywilne;co klient powinien zrobić w przedstawionej sytuacji czy polisa klienta obejmuje rekomendację pełnomocnika oraz refundację jego kosztów w tej sprawie
1;ustawa o prawach pacjenta i rzeczniku praw pacjenta;prawo medyczne;co klientka ma zrobić z dokumentacją medyczną czy klientka może oddać dokumentacje medyczną do archiwum
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co klientka może skutecznie zmienić miejsce odbywania szkolenia specjalizacyjnego
-1;ustawa o prawach pacjenta i rzeczniku praw pacjenta;prawo medyczne;co klientka może zrobić aby uzyskać odszkodowanie
-1;prawo karne procesowe;prawo karne;co klientka może zrobić w przedmiotowej sprawie
-1;prawo karne procesowe;prawo karne;co klientka może zrobić w sprawie zgodnie ze stanem faktycznym
1;prawo karne procesowe;prawo karne;co klientka może zrobić w związku z otrzymanym pismem
1;ustawa o prawach pacjenta i rzeczniku praw pacjenta;prawo medyczne;co klientka może zrobić z dokumentacją medyczną zgromadzoną w formie papierowej
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;co klientka powinna odpowiedzieć narodowemu funduszowi zdrowia czy termin siedmiu dni należy liczyć uwzględniając jedynie dni robocze
1;ustawa o izbach lekarskich;prawo medyczne;co klientka powinna zawrzeć w wyjaśnieniach do wielkopolskiej izby lekarskiej w przedmiocie prowadzonego postępowania przygotowawczego przez prokuraturę w którym występuje jako podejrzana
-1;prawo karne materialne;prawo karne;co klientka powinna zrobić w przedmiotowej sprawie
-1;weryfikacja dokumentu;odpowiedzi niestandardowe;co klientka powinna zrobić w przedmiotowej sprawie
-1;prawo cywilne procesowe;prawo cywilne;co klientka powinna zrobić w ten sytuacji
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co klientka winna zrobić w przedstawionych okolicznościach
0;prawo cywilne procesowe;prawo cywilne;co ma zrobić klientka aby sąd nie zwrócił pisma procesowego z przyczyny brak adresu zamieszkania syna
0;prawo cywilne procesowe;prawo cywilne;co mąż klientki powinien zrobić w związku z otrzymanym z sądu pismem
1;prawo administracyjne materialne;prawo administracyjne;co mogą zrobić mieszkańcy jeśli zaparkowane samochody utrudniają przejazd
1;prawo cywilne procesowe;prawo cywilne;co mogą zrobić spadkobiercy aby sprzedać nieruchomość należącą do spadku jeżeli jeden ze spadkobierców po wezwaniu nie stawia się na rozprawę
1;prawo karne procesowe;prawo karne;co może uczynić klientka gdy służba aresztu śledczego utrudnia przekazywanie informacji na temat jej męża a szpital utrudnia jego leczenie
0;prawo administracyjne materialne;prawo administracyjne;co może zrobić apteka gdy pacjent złoży skargę na aptekę w związku z tym że nie było w niej szczepionek czy apteka może tworzyć listy oczekujących na szczepionki czy apteka może pobierać od pacjentów dane osobowe w celu stworzenia listy oczekujących co może zrobić apteka w sytuacji gdy w aptece nie będzie konkretnego typu leków a pacjentowi będzie kończyć się okres na jaki zostanie wystawiona recepta
1;prawo cywilne procesowe;prawo cywilne;co może zrobić klient aby móc uiszczać alimenty w kwocie przewidzianej nowym wyrokiem
1;rzeczowe;prawo cywilne;co może zrobić klient aby móc zapewnić sobie możliwość zamieszkiwania w domu należącym do syna i synowej klienta dożywotnio
1;prawo cywilne procesowe;prawo cywilne;co może zrobić klient aby mógł posiadać dojazd do własnej działki
1;prawo cywilne procesowe;prawo cywilne;co może zrobić klient aby nie musieć płacić alimentów na rzecz syna
1;covid;prawo medyczne;co może zrobić klient aby przedłużyć kwarantannę i wykonać badania na obecność koronawirusa
-1;prawo karne procesowe;prawo karne;co może zrobić klient aby uchronić się od kosztów
-1;prawo administracyjne materialne;prawo administracyjne;co może zrobić klient w przedmiotowej sprawie
-1;rzeczowe;prawo cywilne;co może zrobić klient w przedmiotowej sprawie
-1;prawo administracyjne materialne;prawo administracyjne;co może zrobić klient w przedmiotowej sprawie
-1;prawo cywilne procesowe;prawo cywilne;co może zrobić klient w przedmiotowej sprawie
-1;prawo karne wykroczeniowe;prawo karne;co może zrobić klient w przedmiotowej sprawie
-1;prawo administracyjne materialne;prawo administracyjne;co może zrobić klient w przedmiotowej sytuacji
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co może zrobić klient w przedstawionej sytuacji
-1;prawo administracyjne materialne;prawo administracyjne;co może zrobić klient w przypadku ukazania się w prasie nieprawdziwego artykułu na jego temat
1;ustawa kodeks pracy;prawo pracy;co może zrobić klient w związku z zachowaniem pracodawcy
1;rzeczowe;prawo cywilne;co może zrobić klientka aby nie oddawać piwnicy
1;prawo administracyjne materialne;prawo administracyjne;co może zrobić klientka aby wstrzymać budowę domu na sąsiedniej nieruchomości
1;ustawa kodeks pracy;prawo pracy;co może zrobić klientka aby zminimalizować koszty zatrudnienia pracownika przez okres wypowiedzenia
1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co może zrobić klientka w celu zabezpieczenia się przed odpowiedzialnością za błąd medyczny w przypadku pełnienia dyżuru na dwóch oddziałach jednocześnie
-1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;co może zrobić klientka w niniejszej sytuacji
-1;rzeczowe;prawo cywilne;co może zrobić klientka w przedmiotowej sprawie
-1;prawo karne procesowe;prawo karne;co może zrobić klientka w przedmiotowej sprawie
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co może zrobić klientka w przedmiotowej sprawie
1;prawo karne procesowe;prawo karne;co może zrobić klientka w związku z powziętymi wątpliwościami dotyczącymi nieprawidłowości w protokołach rozpraw oraz innymi nieprawidłowościami dotyczącymi postępowania przed sądem lekarskim czy fakt że okręgowy sąd lekarski w warszawie posiadał dokumentację medyczną pacjentek klientki może stanowić naruszenie przepisów o dokumentacji medycznej
1;ustawa kodeks pracy;prawo pracy;co może zrobić klientka w związku z zachowaniem kierownika specjalizacji jak zbierać dowody aby udowodnić przejawy mobbingu
1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co może zrobić klientka w związku z żądaniem pacjentki
1;prawo karne procesowe;prawo karne;co może zrobić kobieta wobec swojego męża który stosuje wobec niej przemoc psychiczną i fizyczną jakie kary mogą spotkać osobę stosującą przemoc w rodzinie wobec żony
1;rzeczowe;prawo cywilne;co może zrobić kupujący gdy po podpisaniu umowy przedwstępnej a przed zawarciem umowy przyrzeczonej sprzedawca umiera a kupujący chciałby zakupić dom jaka jest różnica zawarcia umowy przedwstępnej w formie umowy pisemnej i aktu notarialnego
-1;prawo karne procesowe;prawo karne;co można zrobić aby komentarz zniknął z profilu klienta
-1;prawo administracyjne materialne;prawo administracyjne;co można zrobić w przedstawionych okolicznościach
-1;prawo karne wykroczeniowe;prawo karne;co można zrobić w przedstawionych okolicznościach aby pociągnąć do odpowiedzialności właścicieli psów
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należałoby zrobić w przedstawionych okolicznościach
1;prawo karne materialne;prawo karne;co należy rozumieć przez choroby przewlekłe o których mowa w art  ust  pkt  ustawy o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi czy klientce grozi odpowiedzialność karna w przypadku złożenia fałszywego oświadczenia
1;rzeczowe;prawo cywilne;co należy uczynić z płotem znajdującym się na nieruchomości obciążonej który uniemożliwia korzystanie ze służebności drogi koniecznej w przypadku umownego ustanowienia tego rodzaju służebności
1;prawo cywilne procesowe;prawo cywilne;co należy zrobić aby móc sprzedać garaż wchodzący w skład spadku
-1;prawo administracyjne materialne;prawo administracyjne;co należy zrobić jeśli pojawią się w internecie opinie oczerniająceszkalującezniesławiające lekarza lub podmiot leczniczy jak się bronić przed tego typu działaniem w internecie jakie prawa ma zniesławionaoczerniona osobapodmiot leczniczy
-1;prawo administracyjne materialne;prawo administracyjne;co należy zrobić jeśli w internecie pojawiają się opinie zniesławiające lekarza jak się bronić przed tego typu działaniem w internecie jakie prawa ma zniesławiona osoba
-1;prawo administracyjne materialne;prawo administracyjne;co należy zrobić jeśli w internecie pojawią się opinie oczerniające lekarza
-1;prawo administracyjne materialne;prawo administracyjne;co należy zrobić jeśli w sieci pojawią się opinie oczerniające lekarza
-1;prawo administracyjne materialne;prawo administracyjne;co należy zrobić jeśli w sieci pojawią się opinie oczerniające lekarza
